"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","169.68","168.49","169.85","167.88","55.28M","0.75%"
"04/27/2023","168.41","165.19","168.56","165.19","64.22M","2.84%"
"04/26/2023","163.76","163.05","165.28","162.80","44.11M","-0.01%"
"04/25/2023","163.77","165.19","166.30","163.73","48.17M","-0.94%"
"04/24/2023","165.33","165.00","165.60","163.89","38.99M","0.19%"
"04/21/2023","165.02","165.05","166.45","164.49","58.34M","-0.98%"
"04/20/2023","166.65","166.09","167.87","165.56","52.46M","-0.58%"
"04/19/2023","167.63","165.80","168.16","165.54","47.24M","0.70%"
"04/18/2023","166.47","166.10","167.41","165.65","48.41M","0.75%"
"04/17/2023","165.23","165.09","165.39","164.03","41.52M","0.01%"
"04/14/2023","165.21","164.59","166.32","163.82","49.39M","-0.21%"
"04/13/2023","165.56","161.63","165.80","161.42","67.16M","3.41%"
"04/12/2023","160.10","161.22","162.06","159.78","49.40M","-0.44%"
"04/11/2023","160.80","162.35","162.36","160.51","46.31M","-0.76%"
"04/10/2023","162.03","161.42","162.03","160.08","47.03M","-1.60%"
"04/06/2023","164.66","162.43","164.96","162.00","45.39M","0.55%"
"04/05/2023","163.76","164.74","165.05","161.80","51.30M","-1.13%"
"04/04/2023","165.63","166.60","166.84","165.11","44.43M","-0.32%"
"04/03/2023","166.17","164.27","166.29","164.22","54.97M","0.77%"
"03/31/2023","164.90","162.44","165.00","161.91","68.75M","1.56%"
"03/30/2023","162.36","161.53","162.47","161.27","46.81M","0.99%"
"03/29/2023","160.77","159.37","161.05","159.35","51.31M","1.98%"
"03/28/2023","157.65","157.97","158.49","155.98","45.58M","-0.40%"
"03/27/2023","158.28","159.94","160.77","157.87","50.42M","-1.23%"
"03/24/2023","160.25","158.86","160.34","157.85","59.26M","0.83%"
"03/23/2023","158.93","158.83","161.55","157.68","67.22M","0.70%"
"03/22/2023","157.83","159.30","162.14","157.81","69.17M","-0.91%"
"03/21/2023","159.28","157.32","159.40","156.54","73.76M","1.19%"
"03/20/2023","157.40","155.07","157.82","154.15","73.47M","1.55%"
"03/17/2023","155.00","156.08","156.74","154.28","98.94M","-0.55%"
"03/16/2023","155.85","152.16","156.46","151.64","76.02M","1.87%"
"03/15/2023","152.99","151.19","153.24","149.92","75.96M","0.26%"
"03/14/2023","152.59","151.28","153.40","150.10","73.37M","1.41%"
"03/13/2023","150.47","147.80","153.14","147.70","84.46M","1.33%"
"03/10/2023","148.50","150.21","150.94","147.61","68.57M","-1.39%"
"03/09/2023","150.59","153.56","154.54","150.23","53.45M","-1.49%"
"03/08/2023","152.87","152.81","153.47","151.83","47.20M","0.84%"
"03/07/2023","151.60","153.70","154.03","151.13","56.18M","-1.45%"
"03/06/2023","153.83","153.79","156.30","153.46","87.56M","1.85%"
"03/03/2023","151.03","148.04","151.11","147.33","70.50M","3.51%"
"03/02/2023","145.91","144.38","146.71","143.90","52.09M","0.41%"
"03/01/2023","145.31","146.83","147.23","145.01","55.22M","-1.42%"
"02/28/2023","147.41","147.05","149.08","146.83","50.55M","-0.34%"
"02/27/2023","147.92","147.71","149.17","147.45","45.00M","0.82%"
"02/24/2023","146.71","147.11","147.19","145.72","55.47M","-1.80%"
"02/23/2023","149.40","150.09","150.34","147.24","48.39M","0.33%"
"02/22/2023","148.91","148.87","149.95","147.16","51.01M","0.29%"
"02/21/2023","148.48","150.20","151.30","148.40","58.87M","-2.67%"
"02/17/2023","152.55","152.35","153.00","150.85","59.14M","-0.75%"
"02/16/2023","153.71","153.51","156.33","153.35","66.84M","-1.04%"
"02/15/2023","155.33","153.11","155.50","152.88","65.47M","1.39%"
"02/14/2023","153.20","152.12","153.77","150.86","61.71M","-0.42%"
"02/13/2023","153.85","150.95","154.26","150.92","61.86M","1.88%"
"02/10/2023","151.01","149.46","151.34","149.22","57.45M","0.09%"
"02/09/2023","150.87","153.77","154.33","150.42","54.90M","-0.69%"
"02/08/2023","151.92","153.88","154.58","151.17","63.47M","-1.77%"
"02/07/2023","154.65","150.64","155.23","150.64","83.03M","1.92%"
"02/06/2023","151.73","152.57","153.10","150.78","68.02M","-1.79%"
"02/03/2023","154.50","148.03","157.38","147.83","154.36M","2.44%"
"02/02/2023","150.82","148.90","151.18","148.17","104.48M","3.71%"
"02/01/2023","145.43","143.97","146.61","141.32","76.77M","0.79%"
